name,price,image,clock speed,VRAM,manufacturer,model
Videokarte Zotac GeForce GTX 1660 ZT-T16600K-10M 6 GB GDDR5,682.3,https://images.1a.lv/display/aikido/store/c8f7b69ae32abbea49b57c6f8d12018d.jpg?h=270&op=fit&w=374,8000 ,6 ,Zotac,GeForce GTX 1660
Videokarte Gigabyte GeForce GT 730 GV-N730D5-2GIV2.0 2 GB GDDR5,87.31,https://images.1a.lv/display/aikido/store/23ba401331199a642f0aae2fe3cf2ede.jpg?h=270&op=fit&w=374,902 ,2 ,Gigabyte,GeForce GT 730
Videokarte Gigabyte GeForce GT 730 GV-N730D3-2GI 3.0 2 GB GDDR3,81.0,https://images.1a.lv/display/aikido/store/490cfd4200f5dab05d52dc2a4413ba20.jpg?h=270&op=fit&w=374,1600 ,2 ,Gigabyte,GeForce GT 730
Videokarte Asus TUF Gaming GeForce GTX 1660 Ti EVO 6 GB GDDR6,687.12,https://images.1a.lv/display/aikido/store/b16263663779267fb8eb1dbc2d2689d6.jpeg?h=270&op=fit&w=374,1815 ,6 ,Asus,GeForce GTX 1660 Ti
Videokarte PowerColor AMD Radeon RX 6700 XT 12 GB GDDR6,1170.23,https://images.1a.lv/display/aikido/store/f6d340a804fac1124c79c3f0d195def5.jpg?h=270&op=fit&w=374,16000 ,12 ,PowerColor,Radeon RX 6700 XT
Videokarte Afox GeForce GT 730 2 GB GDDR3,71.0,https://images.1a.lv/display/aikido/store/8225561062808647c17d9858fffe46c4.jpg?h=270&op=fit&w=374,1333 ,2 ,Afox,GeForce GT 730
Videokarte PNY Quadro P1000 VCQP1000DVIV2-PB 4 GB GDDR5,414.73,https://images.1a.lv/display/aikido/store/919c8abaf5238618b2adc3652e177345.jpg?h=270&op=fit&w=374,3200 ,4 ,PNY,Quadro P1000
Videokarte Gigabyte GeForce GT 710 GV-N710D5-2GIL 2 GB GDDR5,82.0,https://images.1a.lv/display/aikido/store/1f5345c46f8a219e3201fa9853f2e931.jpg?h=270&op=fit&w=374,954 ,2 ,Gigabyte,GeForce GT 710
Videokarte KFA2 GeForce RTX 3080 10 GB GDDR6X,1624.02,https://images.1a.lv/display/aikido/store/912662ce10edf0349d2f43ed39c59e13.jpeg?h=270&op=fit&w=374,19000 ,10 ,KFA2,GeForce RTX 3080
Videokarte Asus GeForce RTX 3060 Ti ROG STRIX V2 GAMING 8 GB GDDR6,1055.92,https://images.1a.lv/display/aikido/store/a6a99e03988259bcbb08923bcab05c6b.jpeg?h=270&op=fit&w=374,1665 ,8 ,Asus,GeForce RTX 3060 Ti
Videokarte Zotac GeForce RTX 3080 Trinity LHR 10 GB GDDR6X,1882.57,https://images.1a.lv/display/aikido/store/47b79a47999ca21e7e260a9a3480120c.jpeg?h=270&op=fit&w=374,19000 ,10 ,Zotac,GeForce RTX 3080
Videokarte PNY NVIDIA T1000 4 GB GDDR6,413.48,https://images.1a.lv/display/aikido/store/cb71a1291383f2dbb1bb1e45ab99a538.jpg?h=270&op=fit&w=374,1065 ,4 ,PNY,NVIDIA T1000
Videokarte PNY Quadro P400 VCQP400DVIV2-PB 2 GB GDDR5,143.75,https://images.1a.lv/display/aikido/store/598e9b36f3374d50331ecdfa19c6e051.jpg?h=270&op=fit&w=374,3200 ,2 ,PNY,Quadro P400
Videokarte MSI GeForce GT 730 2 GB GDDR5,75.59,https://images.1a.lv/display/aikido/store/e673793e349ba6368aed1256c54dadd9.jpeg?h=270&op=fit&w=374,902 ,2 ,MSI,GeForce GT 730
Videokarte PNY Nvidia T600 4 GB GDDR6,248.9,https://images.1a.lv/display/aikido/store/370fd22ab6b3c60ed7f229a544117502.jpeg?h=270&op=fit&w=374,735 ,4 ,PNY,Nvidia T600
Videokarte Sapphire AMD Radeon RX 6900 XT Air Cooled 16 GB GDDR6,1929.89,https://images.1a.lv/display/aikido/store/1f12dc7c3cd704b4eeeb37631fd4e1f5.jpg?h=270&op=fit&w=374,2235 ,16 ,Sapphire,AMD Radeon RX 6900 XT
Videokarte Gainward GeForce GT 1030 426018336-4085 2 GB GDDR4,104.76,https://images.1a.lv/display/aikido/store/39106ff1f715d469d5141eb7669e5a8a.jpg?h=270&op=fit&w=374,1050 ,2 ,Gainward,GeForce GT 1030
Videokarte Gigabyte GeForce RTX 2060 GV-N2060OC-6GD 6 GB GDDR6,800.0,https://images.1a.lv/display/aikido/store/6c963bdb6322a52084a74e89edc61a95.jpg?h=270&op=fit&w=374,1755 ,6 ,Gigabyte,GeForce RTX 2060
Videokarte Gainward GeForce GT 730 426018336-3224 2 GB GDDR3,78.0,https://images.1a.lv/display/aikido/store/25675f34816b7e348d4ed29b61a139e0.jpg?h=270&op=fit&w=374,900 ,2 ,Gainward,GeForce GT 730
Videokarte MSI AMD Radeon RX 6700 XT 12 GB GDDR6,1193.63,https://images.1a.lv/display/aikido/store/c6640a975b619b289ad73c554e728a0a.jpg?h=270&op=fit&w=374,16000 ,12 ,MSI,Radeon RX 6700 XT
Videokarte Asus GeForce GTX 1660 PH-GTX1660-O6G 6 GB GDDR5,600.06,https://images.1a.lv/display/aikido/store/3a23d3b215c0454accf5b7539a5aa663.jpg?h=270&op=fit&w=374,1530 ,6 ,Asus,GeForce GTX 1660
Videokarte PNY Quadro RTX 4000 8 GB GDDR6,1048.71,https://images.1a.lv/display/aikido/store/791d73f8048614b8a635137a83c1320b.jpeg?h=270&op=fit&w=374,1625 ,8 ,PNY,Quadro RTX 4000
Videokarte PNY Quadro P400 VCQP400V2-SB 2 GB GDDR5,141.23,https://images.1a.lv/display/aikido/store/09b0a1722c7068eff918b4f171fa9a39.jpeg?h=270&op=fit&w=374,1002 ,2 ,PNY,Quadro P400
Videokarte PNY GeForce RTX 3060 Ti 8 GB GDDR6,960.55,https://images.1a.lv/display/aikido/store/ed24b61a9f4b22b081e3e94227577935.jpeg?h=270&op=fit&w=374,1410 ,8 ,PNY,GeForce RTX 3060 Ti
Videokarte PNY Quadro P1000 4 GB GDDR5,418.2,https://images.1a.lv/display/aikido/store/2d920097c0138bfba83a6ecc792ce40b.jpeg?h=270&op=fit&w=374,1354 ,4 ,PNY,Quadro P1000
Videokarte XFX AMD Radeon RX 6700 XT 12 GB GDDR6,1123.91,https://images.1a.lv/display/aikido/store/3268ec1023277906d8474459e8eb8f68.jpg?h=270&op=fit&w=374,16000 ,12 ,XFX,Radeon RX 6700 XT
Videokarte Palit GeForce GTX 1660 6 GB GDDR5,527.05,https://images.1a.lv/display/aikido/store/3834e2adc2f02bc80da40b3067feebd9.jpg?h=270&op=fit&w=374,8000 ,6 ,Palit,GeForce GTX 1660
Videokarte MSI GeForce GTX 1660 Ti GTX1660TiVENTUSXS6GOC 6 GB GDDR6,643.78,https://images.1a.lv/display/aikido/store/013b385dd879a897f4a9aae06ce0f680.jpg?h=270&op=fit&w=374,12000 ,6 ,MSI,GeForce GTX 1660 Ti
Videokarte Gigabyte Nvidia GeForce RTX 3060 Ti 8 GB GDDR6,975.37,https://images.1a.lv/display/aikido/store/d0acaea4a22a9da40122586083822fef.jpg?h=270&op=fit&w=374,14000 ,8 ,Gigabyte,GeForce RTX 3060 Ti
Videokarte Gigabyte Nvidia GeForce RTX 3060 12 GB GDDR6,811.37,https://images.1a.lv/display/aikido/store/3b3c18cb0e0b81860e1788efd227e260.jpg?h=270&op=fit&w=374,15000 ,12 ,Gigabyte,GeForce RTX 3060
Videokarte Gigabyte GeForce RTX 3060 Ti 8 GB GDDR6,958.76,https://images.1a.lv/display/aikido/store/46e673294b1e9d689e41a6c2dc90e066.jpeg?h=270&op=fit&w=374,1665 ,8 ,Gigabyte,GeForce RTX 3060 Ti
Videokarte Zotac Nvidia GeForce RTX 3080 10 GB GDDR6X,1774.08,https://images.1a.lv/display/aikido/store/7be2b67733b111249d4171e41074a327.jpg?h=270&op=fit&w=374,1725 ,10 ,Zotac,GeForce RTX 3080
Videokarte Gigabyte Nvidia GeForce RTX 3060 Ti 8 GB GDDR6,951.39,https://images.1a.lv/display/aikido/store/8099a3d43ea72947a1ff028318ee7777.jpg?h=270&op=fit&w=374,14000 ,8 ,Gigabyte,GeForce RTX 3060 Ti
Videokarte Gigabyte Nvidia GeForce RTX 3080 Ti 12 GB GDDR6X,2097.32,https://images.1a.lv/display/aikido/store/e88a1f384bc02dd007a2d7026658d62d.jpg?h=270&op=fit&w=374,19000 ,12 ,Gigabyte,GeForce RTX 3080 Ti
Videokarte Gigabyte Nvidia GeForce RTX 3080 Ti 12 GB GDDR6X,2188.92,https://images.1a.lv/display/aikido/store/9ae787a5759cc72864388e36929ebf69.jpg?h=270&op=fit&w=374,19000 ,12 ,Gigabyte,GeForce RTX 3080 Ti
Videokarte Gigabyte GeForce GTX 1650 GV-N1656WF2OC-4GD 2.0 4 GB GDDR6,348.41,https://images.1a.lv/display/aikido/store/fd1c1f6a3c055d4c24c9897c13fc86ab.jpg?h=270&op=fit&w=374,1650 ,4 ,Gigabyte,GeForce GTX 1650
Videokarte Gigabyte GeForce GTX 1650 GV-N1656OC-4GD 4 GB GDDR6,442.07,https://images.1a.lv/display/aikido/store/5f30aa1863c0ae91fe1d832785e7d9b2.jpg?h=270&op=fit&w=374,1635 ,4 ,Gigabyte,GeForce GTX 1650
Videokarte Gigabyte GeForce GTX 1050 TI GV-N105TD5-4GDV1.1 4 GB GDDR5,288.85,https://images.1a.lv/display/aikido/store/4c845304f6d7aa2a2bf0859ffcd25523.jpg?h=270&op=fit&w=374,1290 ,4 ,Gigabyte,GeForce GTX 1050 TI
